321,321,"Assurant, Inc.",NYS:AIZ,25.2,Medium ESG Risk
322,322,Assured Guaranty Ltd.,NYS:AGO,23.7,Medium ESG Risk
323,323,ASTARTA Holding NV,WAR:AST,32.6,High ESG Risk
324,324,Astellas Pharma Inc.,TKS:4503,20.4,Medium ESG Risk
325,325,ASTM S.p.A.,MIL:AT,10.0,Negligible ESG Risk
326,326,Aston Martin Lagonda Global Holdings Plc,LON:AML,28.6,Medium ESG Risk
327,327,AstraZeneca PLC,LON:AZN,24.9,Medium ESG Risk
328,328,Astro Malaysia Holdings Bhd,KLS:6399,16.1,Low ESG Risk
329,329,Asustek Computer Inc,TAI:2357,21.0,Medium ESG Risk
330,330,ASX Ltd,ASX:ASX,16.8,Low ESG Risk
331,331,AT&S Austria Technologie & Systemtechnik AG,WBO:ATS,19.9,Low ESG Risk
332,332,AT&T Inc,NYS:T,19.1,Low ESG Risk
333,333,Atacadão SA,BSP:CRFB3,22.0,Medium ESG Risk
334,334,ATCO Ltd.,TSE:ACO.X,38.3,High ESG Risk
335,335,Atea ASA,OSL:ATEA,23.1,Medium ESG Risk
336,336,Athene Holding Ltd,NYS:ATH,25.4,Medium ESG Risk
337,337,Atlantia S.p.A.,MIL:ATL,21.1,Medium ESG Risk
338,338,Atlantica Sustainable Infrastructure Plc,NAS:AY,7.6,Negligible ESG Risk
339,339,Atlas Arteria Ltd.,ASX:ALX,8.4,Negligible ESG Risk
340,340,Atlas Copco AB,OME:ATCO.A,20.2,Medium ESG Risk
341,341,Atlassian Corp. Plc,NAS:TEAM,19.7,Low ESG Risk
342,342,Atmos Energy Corp,NYS:ATO,31.5,High ESG Risk
343,343,Atos SE,PAR:ATO,13.7,Low ESG Risk
344,344,ATS Automation Tooling Systems Inc.,TSE:ATA,38.4,High ESG Risk
345,345,Attendo AB,OME:ATT,25.1,Medium ESG Risk
346,346,AU Optronics Corp,TAI:2409,20.0,Medium ESG Risk
347,347,AUB Group Ltd,ASX:AUB,21.7,Medium ESG Risk
348,348,Auchan Holding SA,-,23.7,Medium ESG Risk
349,349,Auckland International Airport Ltd.,NZE:AIA,20.1,Medium ESG Risk
350,350,Aurizon Holdings Ltd,ASX:AZJ,24.8,Medium ESG Risk
351,351,Aurobindo Pharma Ltd,BOM:524804,38.2,High ESG Risk
352,352,"Aurora Cannabis, Inc.",TSE:ACB,40.4,Severe ESG Risk
353,353,Aurubis AG,ETR:NDA,25.3,Medium ESG Risk
354,354,Ausgrid Pty Ltd.,-,25.5,Medium ESG Risk
355,355,AusNet Services Ltd,ASX:AST,29.7,Medium ESG Risk
356,356,Austal Ltd.,ASX:ASB,45.8,Severe ESG Risk
357,357,Austevoll Seafood ASA,OSL:AUSS,42.8,Severe ESG Risk
358,358,Australia & New Zealand Banking Group Ltd.,ASX:ANZ,23.1,Medium ESG Risk
359,359,Australia Pacific Airports Corp. Ltd.,-,17.9,Low ESG Risk
360,360,Auto Trader Group PLC,LON:AUTO,21.2,Medium ESG Risk
361,361,"Autobio Diagnostics Co., Ltd.",SHG:603658,41.3,Severe ESG Risk
362,362,Autodesk Inc,NAS:ADSK,15.3,Low ESG Risk
363,363,Autohome Inc.,HKG:2518,25.0,Medium ESG Risk
364,364,"Autoliv, Inc.",NYS:ALV,17.6,Low ESG Risk
365,365,Automatic Data Processing Inc,NAS:ADP,12.6,Low ESG Risk
366,366,AutoNation Inc,NYS:AN,13.8,Low ESG Risk
367,367,Autoroutes du Sud de la France SA,-,8.3,Negligible ESG Risk
368,368,AutoZone Inc,NYS:AZO,12.1,Low ESG Risk
369,369,"Avalara, Inc.",NYS:AVLR,22.3,Medium ESG Risk
370,370,Avalon Advanced Materials Inc,TSE:AVL,28.9,Medium ESG Risk
371,371,"AvalonBay Communities, Inc.",NYS:AVB,11.5,Low ESG Risk
372,372,Avance Gas Holding Ltd,OSL:AGAS,25.5,Medium ESG Risk
373,373,Avangrid Inc,NYS:AGR,26.5,Medium ESG Risk
374,374,"Avantor, Inc.",NYS:AVTR,21.5,Medium ESG Risk
375,375,Avast Plc,LON:AVST,16.9,Low ESG Risk
376,376,Avenue Supermarts Ltd,BOM:540376,26.5,Medium ESG Risk
377,377,Avery Dennison Corp,NYS:AVY,18.1,Low ESG Risk
378,378,AVEVA Group PLC,LON:AVV,19.6,Low ESG Risk
379,379,"AVIC Capital Co., Ltd.",SHG:600705,16.4,Low ESG Risk
